icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v01/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,0,0,28,None,0,,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,1,1,78,3,0,0.516602333617,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,2,2,62,None,1,,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v01/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,3,3,0,3,1,0.266602635461,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v01/2.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,4,4,37,None,0,,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,5,5,61,3,0,0.299953998952,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v01/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,6,6,9,3,1,0.266598711487,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,7,7,65,3,0,0.349927617774,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,8,8,27,3,1,0.299931360641,2017_Mai_10_1514,60.0031876436,cfc_SPP1665_Learning,4,12,
