icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,0,0,47,3,0,0.783268169249,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,1,1,7,3,1,0.433252367474,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,1,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v04/2.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,2,2,17,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,3,3,36,3,1,0.466601205764,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,4,4,72,3,0,0.249945139015,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
17,1,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v04/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,5,5,55,3,0,0.233271021718,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,6,6,5,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,0.5,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,7,7,51,3,0,0.266606276821,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,8,8,29,3,1,0.249939403891,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,9,9,70,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,10,10,12,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,11,11,44,3,0,0.266612011945,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,12,12,42,3,0,0.266607484215,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,13,13,66,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,14,14,35,3,1,0.26660657867,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,15,15,61,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,16,16,22,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v04/4.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,17,17,59,3,0,0.249940007589,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,18,18,78,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,19,19,3,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v04/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,20,20,53,3,0,0.266620161857,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v04/2.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,21,21,15,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v04/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,22,22,57,3,0,0.266605974973,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,1,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,23,23,37,3,1,0.249937894648,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v04/2.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,24,24,18,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,25,25,28,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,26,26,24,3,1,0.283272546053,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,27,27,11,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
17,1,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,28,28,76,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,29,29,30,3,1,0.266606880518,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,30,30,25,3,1,0.299927646888,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,31,31,67,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,32,32,52,3,0,0.283266207233,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,33,33,34,3,1,0.249936687253,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,0.5,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,34,34,40,3,0,0.283261075806,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,35,35,77,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,36,36,1,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,37,37,2,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,38,38,31,3,1,0.416594851851,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,39,39,21,3,1,0.266586354813,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,40,40,45,3,0,0.249936083556,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v04/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,41,41,6,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v04/2.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,42,42,14,None,0,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v04/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,43,43,60,None,1,,2017_Apr_26_1454,59.9845915679,cfc_SPP1665_Learning,5,19,
