icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v01/4.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,0,0,36,3,1,0.29997060029,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v01/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,1,1,42,3,0,0.299929247518,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v01/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,2,2,61,3,0,0.283260457874,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,3,3,63,3,0,0.349925353717,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v01/4.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,4,4,32,3,1,0.299936793645,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v01/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,5,5,45,3,0,0.266589555316,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v01/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,6,6,56,3,0,0.34992142973,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v01/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,7,7,7,3,1,0.299916268181,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v01/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,8,8,51,None,1,,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
17,1,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v01/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,9,9,74,None,1,,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v01/4.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,10,10,39,3,1,0.283262872636,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v01/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,11,11,10,3,1,0.316591094725,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v01/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,12,12,11,3,1,0.266598610668,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/4.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,13,13,20,3,1,0.266595290372,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,14,14,66,None,1,,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v01/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,15,15,17,3,1,0.283299697734,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v01/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,16,16,15,3,1,0.283136701401,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v01/4.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,17,17,28,3,1,0.266600421737,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v01/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,18,18,47,3,0,0.599907092092,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v01/4.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,19,19,24,3,1,0.249916539842,2017_Mrz_31_1049,60.0050714259,cfc_SPP1665_Learning,5,2,
