icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
16,1,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v01/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,0,0,40,3,0,0.949897082914,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v01/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,1,1,47,3,0,0.58324964434,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,2,2,20,3,1,0.516599398526,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,3,3,34,None,0,,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,4,4,72,None,1,,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,5,5,24,None,0,,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
13,1,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v01/2.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,6,6,15,3,1,0.233328533856,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,7,7,35,3,1,0.266552082928,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v01/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,8,8,0,3,1,0.26660490736,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v01/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,9,9,12,3,1,0.466613298898,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,10,10,69,None,1,,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,11,11,26,None,0,,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v01/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,12,12,8,3,1,0.26660883146,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,13,13,71,None,1,,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v01/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,14,14,58,3,0,0.249946496397,2017_Feb_14_1055,60.0024451162,cfc_SPP1665_Learning,3,4,
