icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,0,0,67,3,0,0.583287251794,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,1,1,24,3,1,0.31658772436,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v01/2.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,2,2,53,None,1,,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
17,1,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,3,3,79,3,0,0.549921701628,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v01/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,4,4,7,3,1,0.866553193391,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,5,5,77,3,0,0.849902564709,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
13,1,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,6,6,36,None,0,,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,7,7,22,3,1,0.349950859773,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,8,8,21,3,1,0.749858435095,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
16,1,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v01/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,9,9,51,None,1,,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,10,10,62,3,0,0.416591105015,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v01/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,11,11,38,3,1,0.499911559665,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v01/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,12,12,17,3,1,0.38325030607,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v01/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,13,13,73,None,1,,2017_Jun_29_1108,60.0027529449,cfc_SPP1665_Learning,3,9,
