icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,0,0,11,3,1,0.266622577045,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,1,1,33,3,1,0.26658484631,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,2,2,77,3,0,0.199939389347,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
13,1,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v05/3.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,3,3,18,3,1,0.233248081996,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,4,4,41,None,1,,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,5,5,68,3,0,0.216591320905,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,6,6,51,None,1,,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,7,7,45,None,1,,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,8,8,29,None,0,,2017_Mrz_01_1251,60.0119735965,cfc_SPP1665_Learning,3,11,
