icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,0,0,32,None,0,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
13,1,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v05/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,1,1,18,3,1,0.266638273031,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,2,2,12,None,0,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
17,1,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v05/4.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,3,3,57,3,0,0.316629987362,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,4,4,24,3,1,0.283262434767,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,5,5,69,3,0,0.399952429089,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,6,6,1,3,1,0.399940657101,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,7,7,49,3,0,0.266622878891,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,8,8,25,None,0,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,9,9,67,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,10,10,50,3,0,0.249942573821,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,11,11,29,3,1,0.416594097887,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,12,12,7,3,1,0.283241607402,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,13,13,2,3,1,0.266602051526,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,14,14,31,3,1,0.283288393513,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,15,15,76,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,16,16,10,3,1,0.283243418477,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,17,17,22,3,1,0.416587759123,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,18,18,73,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,19,19,3,3,1,0.266605673676,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,20,20,71,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,21,21,60,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
17,1,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v05/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,22,22,58,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,23,23,33,3,1,0.333268034009,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
17,1,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v05/4.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,24,24,56,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v05/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,25,25,15,3,1,0.349932643092,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,26,26,62,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,27,27,20,3,1,0.316600708312,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,28,28,30,3,1,0.266599636759,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,29,29,66,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v05/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,30,30,13,3,1,0.283265453226,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,31,31,23,3,1,0.249935027675,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,32,32,68,None,1,,2017_Mai_08_1241,60.0049084155,cfc_SPP1665_Learning,3,12,
