icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,0,0,45,3,0,0.249982493039,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,1,1,24,3,1,0.283256886272,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,2,2,28,3,1,0.366603903207,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,3,3,7,3,1,0.733228935504,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,4,4,67,3,0,0.283320877231,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
17,0.5,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/2.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,5,5,54,3,0,0.449899304792,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,6,6,27,3,1,0.266602635461,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,7,7,0,3,1,0.333253747093,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v06/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,8,8,77,3,0,0.566576857972,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,9,9,16,3,1,0.283258999181,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,10,10,8,3,1,0.266597202267,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
16,1,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,11,11,46,3,0,0.2999283422,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,12,12,29,3,1,0.483242216647,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,13,13,2,3,1,0.349917958761,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
17,1,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/2.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,14,14,57,3,0,0.283261112091,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v06/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,15,15,51,3,0,0.399917536179,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,16,16,26,3,1,0.283255678896,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,17,17,19,3,1,0.299924418226,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,18,18,12,3,1,0.333193981952,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,19,19,18,3,1,0.249907937535,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,20,20,66,None,1,,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
17,1,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v06/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,21,21,74,3,0,0.249988529923,2017_Feb_24_1112,60.0041657384,cfc_SPP1665_Learning,4,14,
