icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,0,0,19,3,1,0.29998502787,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,1,1,78,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,1,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,2,2,36,3,1,0.349945454358,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,3,3,42,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,4,4,30,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,5,5,10,3,1,0.29996148299,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,6,6,38,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,7,7,48,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,8,8,7,3,1,0.316611939911,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,9,9,68,3,0,0.299942164113,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,10,10,28,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,11,11,46,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,12,12,75,3,0,0.283283255182,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,13,13,5,3,1,0.316628240213,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v02/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,14,14,13,3,1,0.749928912571,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,15,15,74,3,0,0.283269973455,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,16,16,31,3,1,0.283337589523,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v02/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,17,17,15,3,1,0.349916476044,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,18,18,27,3,1,0.516603367159,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,19,19,50,3,0,0.249948533305,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v02/2.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,20,20,59,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,21,21,22,3,1,0.416609162823,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,22,22,32,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,23,23,73,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,24,24,62,3,0,0.266592349362,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,25,25,12,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,26,26,44,3,0,0.266616497958,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,1,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,27,27,39,3,1,0.249943099871,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,28,28,25,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,29,29,63,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,30,30,29,3,1,0.449939960554,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,31,31,40,3,0,0.233266683208,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,32,32,24,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,33,33,58,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,34,34,61,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,35,35,65,3,0,0.566605751833,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,36,36,71,3,0,0.299967821996,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,37,37,21,3,1,0.216618641146,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,38,38,2,3,1,0.283219865118,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,1,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,39,39,56,3,0,0.283274803173,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,40,40,69,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v02/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,41,41,18,3,1,0.299984122298,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,42,42,4,3,1,0.283309818637,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,43,43,34,3,1,0.333273263701,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,44,44,33,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,45,45,26,3,1,0.299946390118,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,46,46,8,3,1,0.333271150699,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,47,47,64,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,48,48,67,3,0,0.249952457452,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,49,49,43,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,50,50,23,3,1,0.41662002969,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,1,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,51,51,16,3,1,0.249919253132,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,52,52,60,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,53,53,45,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,54,54,37,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v02/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,55,55,17,3,1,0.299983820441,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,56,56,11,None,0,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,57,57,41,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,58,58,20,3,1,0.599988770902,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v02/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,59,59,79,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,60,60,52,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,0.5,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,61,61,55,3,0,0.616601495643,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
17,0.5,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,62,62,54,None,1,,2017_Jun_19_1138,59.998478677,cfc_SPP1665_Learning,5,15,
