icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,0.5,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,0,0,2,3,1,0.333302745924,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v06/2.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,1,1,53,3,0,0.783219586406,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,2,2,3,3,1,0.433262901799,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,3,3,21,3,1,0.399928159835,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,4,4,33,None,0,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,5,5,18,3,1,0.299938724565,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
17,1,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/2.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,6,6,55,3,0,0.366627225008,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,7,7,8,3,1,0.333251431521,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,8,8,16,3,1,0.399914878461,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,9,9,66,3,0,0.266587380882,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,10,10,60,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,11,11,14,None,0,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,12,12,40,3,0,0.266621489868,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,13,13,27,3,1,0.283266373067,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,14,14,15,3,1,0.283269995261,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,15,15,28,3,1,0.349932234803,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,16,16,6,None,0,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,17,17,11,3,1,0.466595228968,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,18,18,4,3,1,0.333263203649,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,19,19,78,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,20,20,63,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,21,21,45,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,22,22,44,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
17,1,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v06/2.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,23,23,54,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,24,24,31,3,1,0.28330772644,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,25,25,12,3,1,0.266602473354,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,26,26,34,3,1,0.249937064393,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,27,27,17,3,1,0.299932083878,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
17,1,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,28,28,75,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,29,29,32,3,1,0.266610623289,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,30,30,22,3,1,0.266603982601,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,31,31,13,3,1,0.283261241627,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v06/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,32,32,51,None,1,,2017_Mrz_08_1049,60.001376465,cfc_SPP1665_Learning,2,22,
