icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,0,0,72,3,0,0.249952987363,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v06/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,1,1,75,None,1,,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,2,2,61,None,1,,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,3,3,2,3,1,0.433276616322,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,4,4,39,3,1,0.400084034146,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
13,1,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,5,5,16,3,1,0.499912615355,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v06/1.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,6,6,56,3,0,0.399927677509,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,7,7,24,3,1,0.566587250776,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,8,8,4,3,1,0.466589937213,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,9,9,0,3,1,0.433257298128,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,10,10,46,3,0,0.366587190407,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v06/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,11,11,73,None,1,,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,12,12,1,3,1,0.599890912571,2017_Apr_04_1823,59.9962512971,cfc_SPP1665_Learning,2,23,
