icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v03/4.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,0,0,77,3,0,0.499978115592,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,1,1,41,None,1,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v03/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,2,2,2,3,1,0.349955823682,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v03/2.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,3,3,14,3,1,0.349940730987,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v03/4.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,4,4,75,3,0,0.516602417065,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
17,1,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v03/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,5,5,54,3,0,0.64993973487,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,6,6,34,3,1,0.53326414842,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
17,0.5,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v03/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,7,7,55,3,0,0.399933471402,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,0.5,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v03/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,8,8,9,None,0,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v03/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,9,9,61,3,0,0.349941636549,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v03/2.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,10,10,13,3,1,0.549930709438,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,0.5,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v03/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,11,11,6,3,1,0.499933139362,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,12,12,47,None,1,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,13,13,39,None,0,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,14,14,27,3,1,0.433282591693,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v03/1.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,15,15,56,None,1,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,16,16,44,3,0,0.316610929344,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v03/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,17,17,67,3,0,0.433246671079,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v03/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,18,18,4,3,1,0.416601843543,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/4.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,19,19,79,3,0,0.499926196722,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,20,20,62,None,1,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v03/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,21,21,8,3,1,0.416613313991,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v03/2.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,22,22,19,3,1,0.499930120824,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,23,23,20,None,0,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,24,24,45,3,0,0.333261492106,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,25,25,30,None,0,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,0.5,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,26,26,52,3,0,0.616608423958,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,27,27,42,3,0,0.283269053547,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,28,28,71,3,0,0.449912930244,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,29,29,21,3,1,0.483262956097,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,30,30,32,3,1,0.649928566275,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,31,31,49,3,0,0.299897882826,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
17,1,5,8,None,stim_v01/WinNeu.png,96,2.1,10,8,stim_v03/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,32,32,57,3,0,0.549903240733,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,33,33,31,None,0,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v03/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,34,34,11,3,1,0.349948579189,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v03/2.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,35,35,18,3,1,0.349934090202,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,36,36,25,None,0,,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/3.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,37,37,33,3,1,0.333276886655,2017_Jul_05_1107,59.9966858272,cfc_SPP1665_Learning,5,9,
