icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
17,1,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v02/1.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,0,0,59,3,0,0.233318442093,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v02/3.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,1,1,14,3,1,0.249926801513,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,2,2,65,3,0,0.249936460694,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,3,3,70,3,0,0.183271806358,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,4,4,47,3,0,0.516621338944,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/4.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,5,5,22,3,1,0.249937064395,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,6,6,4,None,0,,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/4.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,7,7,33,3,1,0.233300331129,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
17,0.5,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v02/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,8,8,58,None,1,,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,9,9,67,3,0,0.216609264968,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
13,1,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,10,10,19,None,0,,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,11,11,68,None,1,,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/4.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,12,12,21,3,1,0.249943403231,2017_Mrz_08_1252,60.0037673175,cfc_SPP1665_Learning,4,11,
