icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v03/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,0,0,63,3,0,0.199962027559,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v03/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,1,1,57,3,0,0.249928084785,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v03/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,2,2,0,3,1,0.233278467483,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,3,3,39,3,1,0.266601548056,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v03/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,4,4,74,None,1,,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
17,0.5,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v03/1.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,5,5,56,3,0,0.449944143083,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,6,6,73,3,0,0.299951191227,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v03/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,7,7,1,None,0,,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v03/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,8,8,18,None,0,,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v03/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,9,9,41,3,0,0.283268974373,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v03/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,10,10,2,None,0,,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v03/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,11,11,24,None,0,,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v03/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,12,12,70,3,0,0.249938951303,2017_Feb_12_1045,60.0047635348,cfc_SPP1665_Learning,5,16,
