icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,0,0,27,3,1,0.416630998642,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,1,1,21,3,1,0.383258707173,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/1.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,2,2,8,3,1,0.483224357205,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,3,3,20,3,1,0.333293087326,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/1.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,4,4,0,3,1,0.366607726388,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,5,5,65,3,0,0.483259673078,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
13,1,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/1.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,6,6,13,3,1,0.316595018711,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,7,7,31,3,1,0.39991391379,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,8,8,60,3,0,0.366626742627,2017_Mai_10_1312,60.0051801085,cfc_SPP1665_Learning,5,18,
