icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,0,0,22,3,1,0.299954813535,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v04/2.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,1,1,49,3,0,0.316595627025,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v04/2.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,2,2,51,None,1,,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v04/1.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,3,3,8,3,1,0.299939419349,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,4,4,65,3,0,0.316606191663,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v04/1.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,5,5,18,3,1,0.316597739953,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,6,6,36,3,1,0.299929156558,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v04/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,7,7,64,None,1,,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v04/1.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,8,8,5,3,1,0.316587477162,2017_Apr_12_0952,60.0021190393,cfc_SPP1665_Learning,4,23,
