icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
16,0.5,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v05/3.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,0,0,52,None,1,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
13,1,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v05/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,1,1,14,3,1,0.283302162894,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
13,1,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v05/4.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,2,2,19,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,3,3,31,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
17,1,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,4,4,79,3,0,0.366602997675,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v05/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,5,5,13,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,6,6,66,None,1,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v05/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,7,7,3,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/3.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,8,8,49,None,1,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,9,9,62,None,1,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,10,10,25,3,1,0.316600099971,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,11,11,38,3,1,0.366583377805,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v05/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,12,12,18,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,13,13,39,3,1,0.283286768842,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,14,14,36,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v05/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,15,15,5,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,16,16,23,None,0,,2017_Jun_21_1518,60.0041657384,cfc_SPP1665_Learning,5,24,
