icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,0,0,71,3,0,0.299963083157,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,1,1,52,3,0,0.266601184297,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
17,0.5,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v02/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,2,2,53,3,0,0.433265788289,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,3,3,30,3,1,0.449930286632,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,1,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,4,4,38,3,1,0.816579737513,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,5,5,79,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v02/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,6,6,16,3,1,0.416600988091,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,7,7,36,None,0,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,1,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/3.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,8,8,17,None,0,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,9,9,8,3,1,0.266608126958,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,10,10,49,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/3.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,11,11,14,3,1,0.38334443656,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,12,12,35,3,1,0.316581397715,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,13,13,12,3,1,0.566588717694,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,0.5,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,14,14,46,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,15,15,32,None,0,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,16,16,3,3,1,0.399935886039,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,17,17,70,3,0,0.266600278733,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,1,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,18,18,39,None,0,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,19,19,61,3,0,0.449960773968,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,20,20,29,3,1,0.299924143887,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,21,21,64,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v02/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,22,22,19,3,1,0.299906636308,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,23,23,4,3,1,0.466627687149,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,24,24,20,3,1,0.28326628635,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,0.5,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,25,25,45,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,26,26,25,3,1,0.36660477637,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
17,1,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,27,27,55,3,0,0.783291189371,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,28,28,66,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,29,29,31,3,1,0.383272595116,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,30,30,75,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,1,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v02/2.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,31,31,34,3,1,0.316595886745,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
13,1,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v02/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,32,32,13,3,1,0.266608126958,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,33,33,47,3,0,0.283269606753,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,34,34,6,None,0,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,35,35,76,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,36,36,69,3,0,0.299931690257,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/1.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,37,37,44,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,1,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,38,38,62,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,39,39,72,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,40,40,10,3,1,0.616574062643,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/4.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,41,41,78,None,1,,2017_Mrz_21_1114,60.0024813492,cfc_SPP1665_Learning,2,2,
