icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,0,0,61,3,0,0.41664073284,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/3.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,1,1,63,None,1,,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
13,1,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v06/2.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,2,2,34,3,1,0.399940052866,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/1.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,3,3,0,3,1,0.366595440456,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,4,4,23,None,0,,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
17,1,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v06/3.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,5,5,75,None,1,,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,6,6,41,3,0,0.24997653127,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/2.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,7,7,20,3,1,0.266602352789,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,8,8,43,None,1,,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,9,9,28,3,1,0.499943705234,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,10,10,47,None,1,,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,11,11,25,3,1,0.299943343015,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v06/1.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,12,12,4,3,1,0.266604465729,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
17,1,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,13,13,56,None,1,,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,14,14,31,3,1,0.266607182367,2017_Feb_09_0948,60.0043650485,cfc_SPP1665_Learning,1,11,
