icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v05/2.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,0,0,15,3,1,0.433252971171,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,1,1,64,3,0,0.549920779832,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,2,2,24,3,1,0.299900480513,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,3,3,40,3,0,0.433252367474,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,4,4,46,3,0,0.483244232654,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,5,5,52,None,1,,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v05/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,6,6,33,3,1,0.499926198014,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
16,1,5,8,None,stim_v01/WinPos.png,160,1.1,11,10,stim_v05/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,7,7,50,None,1,,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v05/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,8,8,4,3,1,0.449904147973,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
17,1,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,9,9,73,3,0,0.349900193757,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v05/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,10,10,34,None,0,,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v05/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,11,11,7,3,1,0.416596059246,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v05/4.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,12,12,56,None,1,,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,13,13,77,3,0,0.466577057875,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v05/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,14,14,78,3,0,0.416575835388,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
13,1,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v05/2.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,15,15,16,3,1,0.36658366836,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,16,16,1,3,1,0.433203467999,2017_Mrz_27_1113,60.002734873,cfc_SPP1665_Learning,1,17,
