icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v05/4.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,0,0,38,None,0,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v05/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,1,1,1,3,1,0.18334183052,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v05/4.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,2,2,35,None,0,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/4.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,3,3,23,None,0,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
13,1,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v05/4.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,4,4,37,None,0,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v05/1.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,5,5,45,None,1,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v05/4.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,6,6,31,None,0,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v05/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,7,7,65,3,0,0.73320673581,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v05/4.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,8,8,25,None,0,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v05/4.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,9,9,24,3,1,0.299951612821,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
17,1,5,8,None,stim_v01/WinNeu.png,160,2.1,11,9,stim_v05/1.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,10,10,54,None,1,,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v05/3.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,11,11,17,3,1,0.249943176004,2017_Apr_07_1315,60.0041839868,cfc_SPP1665_Learning,1,19,
