icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v03/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,0,0,9,3,1,0.533289927765,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,1,1,77,3,0,0.499905069185,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,2,2,63,3,0,0.599875820231,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v03/3.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,3,3,16,3,1,0.699900903699,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,4,4,79,3,0,0.633271243449,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v03/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,5,5,39,3,1,0.41662946405,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
16,0.5,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v03/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,6,6,41,3,0,0.616572777223,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,7,7,70,3,0,0.599911438152,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
17,1,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v03/4.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,8,8,57,3,0,0.616545912859,2017_Mai_23_1312,60.0049446578,cfc_SPP1665_Learning,1,24,
