icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,0,0,77,3,0,0.633286958233,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
16,1,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,1,1,66,None,1,,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
12,1,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,2,2,5,3,1,0.299944066136,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,3,3,56,3,0,0.166610773049,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,4,4,26,None,0,,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,5,5,41,3,0,0.199945303744,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,6,6,28,None,0,,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,7,7,7,3,1,0.283268650684,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,8,8,68,3,0,0.849917336811,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,9,9,27,3,1,0.616595846284,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
12,1,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v02/1.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,10,10,22,3,1,0.6665910015,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,11,11,71,None,1,,2017_Jun_26_1118,60.0047998899,cfc_SPP1665_Learning,1,9,
