icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,0,0,41,None,1,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,1,1,45,None,1,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,2,2,61,3,0,0.316599052192,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,3,3,25,3,1,0.333263907756,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,4,4,35,None,0,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/1.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,5,5,19,None,0,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
16,1,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,6,6,70,None,1,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
13,1,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/1.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,7,7,13,3,1,0.349929065167,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
12,0.5,5,6,3,stim_v01/WinPos.png,96,1.1,10,9,stim_v02/1.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,8,8,12,3,1,0.299941139183,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,9,9,64,3,0,0.333251230037,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,10,10,28,None,0,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
13,1,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v02/1.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,11,11,14,3,1,0.399960155755,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,12,12,77,3,0,0.283278094721,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v02/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,13,13,44,None,1,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,14,14,26,None,0,,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v02/1.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,15,15,18,3,1,0.300004225905,2017_Mai_04_1647,59.9988046959,cfc_SPP1665_Learning,2,12,
