icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
17,0.5,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v02/4.png,NoGoWin,3,stim_v01/WinPos.png,2,7,15,0,0,0,57,3,0,0.383302745648,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,1,1,33,3,1,0.599962872184,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,2,2,46,3,0,0.299851790587,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,3,3,42,None,1,,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,4,4,74,3,0,0.349906123976,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/1.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,5,5,3,3,1,0.316598548696,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v02/3.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,6,6,38,None,0,,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
16,1,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v02/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,7,7,52,None,1,,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v02/1.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,8,8,5,None,0,,2017_Mrz_16_1050,60.0033326329,cfc_SPP1665_Learning,5,20,
