icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,0,0,76,3,0,0.316641759351,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
13,1,5,6,3,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/2.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,1,1,34,3,1,0.299930967848,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,2,2,72,3,0,0.299931269693,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,3,3,75,3,0,0.366572198968,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,4,4,69,3,0,0.333293389062,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v03/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,5,5,32,None,0,,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,6,6,79,3,0,0.366619588771,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v03/3.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,7,7,5,3,1,0.33326350632,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
16,0.5,5,8,None,stim_v01/WinPos.png,160,2.1,11,9,stim_v03/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,8,8,45,3,0,0.28326515138,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v03/3.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,9,9,7,3,1,0.299927043851,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v03/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,10,10,26,None,0,,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v03/2.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,11,11,30,3,1,0.383270312945,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v03/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,12,12,52,None,1,,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v03/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,13,13,61,3,0,0.349958299992,2017_Apr_18_1156,60.0049084155,cfc_SPP1665_Learning,5,23,
