icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v04/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,0,0,67,3,0,0.533274433141,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v04/1.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,1,1,16,3,1,0.43325508482,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v04/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,2,2,64,None,1,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
17,1,5,8,None,stim_v01/WinNeu.png,96,1.1,10,9,stim_v04/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,3,3,53,3,0,0.266614125361,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,4,4,24,None,0,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,5,5,20,None,0,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
16,1,5,8,None,stim_v01/WinPos.png,96,1.1,10,9,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,6,6,45,3,0,0.249998415309,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v04/1.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,7,7,9,3,1,0.316586823401,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
12,0.5,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v04/1.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,8,8,10,3,1,0.266640687798,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v04/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,9,9,71,None,1,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
17,1,5,8,None,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v04/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,10,10,74,None,1,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,11,11,30,None,0,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,12,12,60,None,1,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
12,0.5,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,13,13,22,None,0,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
16,0.5,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v04/4.png,NoGoWin,3,stim_v01/WinNeu.png,2,7,14,0,14,14,41,3,0,0.233276455508,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v04/2.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,15,15,61,None,1,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
13,1,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v04/1.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,16,16,15,3,1,0.766540927735,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
13,0.5,5,6,3,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeu.png,2,9,11,0,17,17,38,None,0,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v04/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,18,18,32,None,0,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
17,1,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v04/2.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,19,19,78,None,1,,2017_Feb_21_1024,60.0024088267,cfc_SPP1665_Learning,5,4,
