icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,0,0,64,3,0,0.383297428658,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,1,1,63,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,2,2,70,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,3,3,25,3,1,0.383252453486,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,4,4,8,3,1,0.333265417806,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,0.5,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,5,5,12,3,1,0.283276571045,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
17,0.5,5,8,None,stim_v01/AvoNeg.png,96,1.1,10,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,6,6,76,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,7,7,23,3,1,0.649940128689,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,1,7,15,0,8,8,77,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,2.1,10,8,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,9,9,15,3,1,0.649882174106,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
13,1,5,6,3,stim_v01/WinNeu.png,160,1.1,11,10,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,10,10,19,3,1,0.349914984852,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,11,11,7,3,1,0.683280012098,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,12,12,71,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,13,13,65,3,0,0.299951191374,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,14,14,29,3,1,0.716568581553,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
17,1,5,8,None,stim_v01/AvoNeg.png,96,2.1,10,8,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,15,15,75,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinPos.png,1,9,11,0,16,16,13,None,0,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,0.5,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v06/4.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,17,17,0,3,1,0.31660830459,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,1,5,6,3,stim_v01/AvoNeu.png,96,2.1,10,8,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,18,18,30,3,1,0.666603278841,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,19,19,34,3,1,0.583233195661,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,20,20,62,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,21,21,60,None,1,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
12,1,5,6,3,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,2,9,10,0,22,22,27,None,0,,2017_Jun_27_1504,60.0040752083,cfc_SPP1665_Learning,2,9,
